fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,6,1,JAMMU AND KASHMIR,1,ANANTNAG,IGNDPS,104,0,2,101,1,104,19,29/07/24
2024-2025,6,1,JAMMU AND KASHMIR,11,PULWAMA,IGNDPS,100,0,6,86,8,99,57,29/07/24
2024-2025,6,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNDPS,107,0,0,107,0,104,31,29/07/24
2024-2025,6,10,BIHAR,190,BANKA,IGNDPS,1990,213,61,1500,216,1402,1471,29/07/24
2024-2025,6,10,BIHAR,196,GAYA,IGNDPS,1665,407,31,1142,85,1191,1221,29/07/24
2024-2025,6,10,BIHAR,199,JEHANABAD,IGNDPS,378,62,15,223,78,239,225,29/07/24
2024-2025,6,10,BIHAR,200,KAIMUR (BHABUA),IGNDPS,1624,349,65,965,245,1021,1339,29/07/24
2024-2025,6,10,BIHAR,201,KATIHAR,IGNDPS,2102,111,22,1817,152,1429,1629,29/07/24
2024-2025,6,10,BIHAR,202,KHAGARIA,IGNDPS,1846,165,27,1453,201,1221,1495,29/07/24
2024-2025,6,10,BIHAR,204,LAKHISARAI,IGNDPS,2371,327,28,1511,505,1487,1743,29/07/24
2024-2025,6,10,BIHAR,206,MADHUBANI,IGNDPS,9744,842,105,7771,1026,6422,7303,29/07/24
2024-2025,6,10,BIHAR,221,SITAMARHI,IGNDPS,3608,473,82,2664,389,2483,2955,29/07/24
2024-2025,6,11,SIKKIM,227,SOUTH DISTRICT,IGNDPS,192,13,58,65,56,0,98,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,231,EAST KAMENG,IGNDPS,179,0,179,0,0,0,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,IGNDPS,193,0,193,0,0,63,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,234,LOHIT,IGNDPS,22,0,19,3,0,14,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,IGNDPS,102,0,102,0,0,45,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,240,UPPER SIANG,IGNDPS,86,0,86,0,0,42,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,666,LONGDING,IGNDPS,78,0,78,0,0,63,3,29/07/24
2024-2025,6,13,NAGALAND,244,DIMAPUR,IGNDPS,138,0,137,1,0,1,0,29/07/24
2024-2025,6,13,NAGALAND,247,MON,IGNDPS,108,0,108,0,0,37,3,29/07/24
2024-2025,6,13,NAGALAND,250,WOKHA,IGNDPS,110,0,110,0,0,0,0,29/07/24
2024-2025,6,14,MANIPUR,252,BISHNUPUR,IGNDPS,24,4,0,20,0,15,0,29/07/24
2024-2025,6,14,MANIPUR,255,IMPHAL EAST,IGNDPS,183,2,2,3,176,92,24,29/07/24
2024-2025,6,15,MIZORAM,266,MAMIT,IGNDPS,81,0,81,0,0,56,65,29/07/24
2024-2025,6,15,MIZORAM,728,KHAWZAWL,IGNDPS,20,0,20,0,0,11,7,29/07/24
2024-2025,6,16,TRIPURA,272,WEST TRIPURA,IGNDPS,390,89,53,148,100,180,9,29/07/24
2024-2025,6,17,MEGHALAYA,273,EAST GARO HILLS,IGNDPS,130,1,121,8,0,117,18,29/07/24
2024-2025,6,17,MEGHALAYA,279,WEST KHASI HILLS,IGNDPS,155,1,153,0,1,101,70,29/07/24
2024-2025,6,18,ASSAM,612,CHIRANG,IGNDPS,574,49,254,169,102,348,559,29/07/24
2024-2025,6,18,ASSAM,708,CHARAIDEO,IGNDPS,506,3,7,336,160,418,504,29/07/24
2024-2025,6,18,ASSAM,709,HOJAI,IGNDPS,729,90,11,603,25,303,447,29/07/24
2024-2025,6,19,WEST BENGAL,303,24 PARGANAS NORTH,IGNDPS,4523,986,105,3270,150,4372,3919,29/07/24
2024-2025,6,19,WEST BENGAL,307,BIRBHUM,IGNDPS,5760,1426,87,4103,144,5537,5159,29/07/24
2024-2025,6,19,WEST BENGAL,320,NADIA,IGNDPS,4097,745,50,3212,90,3951,3950,29/07/24
2024-2025,6,19,WEST BENGAL,664,ALIPURDUAR,IGNDPS,719,272,98,349,0,693,709,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,15,BILASPUR,IGNDPS,36,6,2,25,3,17,0,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,20,KULLU,IGNDPS,32,8,0,20,4,11,0,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,21,LAHUL AND SPITI,IGNDPS,13,1,11,1,0,0,0,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,23,SHIMLA,IGNDPS,36,14,0,22,0,6,0,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,25,SOLAN,IGNDPS,98,31,7,57,3,17,0,29/07/24
2024-2025,6,2,HIMACHAL PRADESH,26,UNA,IGNDPS,59,17,5,24,13,15,0,29/07/24
2024-2025,6,20,JHARKHAND,324,DEOGHAR,IGNDPS,1692,305,6,1144,237,1655,497,29/07/24
2024-2025,6,20,JHARKHAND,333,JAMTARA,IGNDPS,1048,186,199,65,598,1024,1009,29/07/24
2024-2025,6,20,JHARKHAND,335,LATEHAR,IGNDPS,949,155,391,139,264,949,560,29/07/24
2024-2025,6,20,JHARKHAND,606,KHUNTI,IGNDPS,732,38,485,157,52,715,227,29/07/24
2024-2025,6,21,ODISHA,348,BHADRAK,IGNDPS,2881,288,18,2047,528,2705,2106,29/07/24
2024-2025,6,21,ODISHA,355,JAGATSINGHAPUR,IGNDPS,1915,279,2,1189,445,1840,867,29/07/24
2024-2025,6,21,ODISHA,357,JHARSUGUDA,IGNDPS,834,112,218,338,166,808,502,29/07/24
2024-2025,6,22,CHHATTISGARH,646,BALOD,IGNDPS,243,40,52,41,110,228,44,29/07/24
2024-2025,6,22,CHHATTISGARH,762,SAKTI,IGNDPS,1416,352,51,570,443,1313,342,29/07/24
2024-2025,6,23,MADHYA PRADESH,393,BARWANI,IGNDPS,3282,283,2113,113,773,1403,484,29/07/24
2024-2025,6,23,MADHYA PRADESH,400,DAMOH,IGNDPS,3306,866,323,328,1789,1656,829,29/07/24
2024-2025,6,23,MADHYA PRADESH,407,GWALIOR,IGNDPS,800,272,59,78,391,568,211,29/07/24
2024-2025,6,23,MADHYA PRADESH,409,HOSHANGABAD,IGNDPS,4073,966,575,470,2062,2045,771,29/07/24
2024-2025,6,23,MADHYA PRADESH,411,JABALPUR,IGNDPS,5370,964,1280,576,2550,2459,901,29/07/24
2024-2025,6,23,MADHYA PRADESH,413,KATNI,IGNDPS,4870,790,1267,483,2330,2475,941,29/07/24
2024-2025,6,23,MADHYA PRADESH,417,MORENA,IGNDPS,2346,689,22,543,1092,1315,884,29/07/24
2024-2025,6,23,MADHYA PRADESH,419,NEEMUCH,IGNDPS,1373,259,132,180,802,757,265,29/07/24
2024-2025,6,23,MADHYA PRADESH,420,PANNA,IGNDPS,2694,728,324,450,1192,1031,1053,29/07/24
2024-2025,6,23,MADHYA PRADESH,429,SHAHDOL,IGNDPS,4582,495,1841,585,1661,2087,964,29/07/24
2024-2025,6,23,MADHYA PRADESH,431,SHEOPUR,IGNDPS,868,209,208,53,398,404,262,29/07/24
2024-2025,6,23,MADHYA PRADESH,434,TIKAMGARH,IGNDPS,2093,593,92,249,1159,971,566,29/07/24
2024-2025,6,23,MADHYA PRADESH,437,VIDISHA,IGNDPS,1365,347,67,224,727,847,631,29/07/24
2024-2025,6,23,MADHYA PRADESH,639,ALIRAJPUR,IGNDPS,1960,74,1803,17,66,784,319,29/07/24
2024-2025,6,24,GUJARAT,441,BANAS KANTHA,IGNDPS,885,187,66,174,454,775,502,29/07/24
2024-2025,6,24,GUJARAT,444,DANG,IGNDPS,202,4,189,9,0,200,201,29/07/24
2024-2025,6,24,GUJARAT,454,PANCH MAHALS,IGNDPS,1400,183,159,664,394,1327,1337,29/07/24
2024-2025,6,24,GUJARAT,458,SABAR KANTHA,IGNDPS,623,123,143,121,236,556,611,29/07/24
2024-2025,6,24,GUJARAT,674,DEVBHUMI DWARKA,IGNDPS,345,20,0,251,74,225,225,29/07/24
2024-2025,6,27,MAHARASHTRA,475,GADCHIROLI,IGNDPS,463,82,93,114,174,454,206,29/07/24
2024-2025,6,27,MAHARASHTRA,484,NAGPUR,IGNDPS,102,0,0,101,1,93,27,29/07/24
2024-2025,6,27,MAHARASHTRA,485,NANDED,IGNDPS,38,5,1,27,5,33,28,29/07/24
2024-2025,6,27,MAHARASHTRA,494,SATARA,IGNDPS,109,4,3,87,15,109,107,29/07/24
2024-2025,6,27,MAHARASHTRA,496,SOLAPUR,IGNDPS,291,9,0,269,13,176,42,29/07/24
2024-2025,6,28,ANDHRA PRADESH,502,ANANTAPUR,IGNDPS,4929,857,272,1215,2585,3211,1438,29/07/24
2024-2025,6,28,ANDHRA PRADESH,511,KURNOOL,IGNDPS,1375,229,83,345,718,768,590,29/07/24
2024-2025,6,28,ANDHRA PRADESH,523,WEST GODAVARI,IGNDPS,2601,603,132,575,1291,1524,1350,29/07/24
2024-2025,6,29,KARNATAKA,535,DAVANAGERE,IGNDPS,585,54,43,253,235,576,531,29/07/24
2024-2025,6,3,PUNJAB,31,FIROZEPUR,IGNDPS,669,99,0,561,9,372,635,29/07/24
2024-2025,6,3,PUNJAB,33,HOSHIARPUR,IGNDPS,215,27,0,188,0,104,215,29/07/24
2024-2025,6,3,PUNJAB,41,PATIALA,IGNDPS,470,2,0,425,43,303,406,29/07/24
2024-2025,6,3,PUNJAB,43,SANGRUR,IGNDPS,553,37,0,501,15,304,419,29/07/24
2024-2025,6,32,KERALA,564,PATHANAMTHITTA,IGNDPS,992,36,29,927,0,680,622,29/07/24
2024-2025,6,33,TAMIL NADU,579,NAGAPATTINAM,IGNDPS,1893,736,0,22,1135,1432,1868,29/07/24
2024-2025,6,33,TAMIL NADU,585,SIVAGANGAI,IGNDPS,446,65,0,111,270,396,445,29/07/24
2024-2025,6,33,TAMIL NADU,586,THANJAVUR,IGNDPS,2845,609,0,1629,607,2627,2775,29/07/24
2024-2025,6,33,TAMIL NADU,589,TIRUVALLUR,IGNDPS,2492,641,9,311,1531,1601,2474,29/07/24
2024-2025,6,33,TAMIL NADU,593,TIRUVANNAMALAI,IGNDPS,309,52,2,193,62,243,308,29/07/24
2024-2025,6,35,ANDAMAN AND NICOBAR,602,SOUTH ANDAMANS,IGNDPS,2,0,0,2,0,2,2,29/07/24
2024-2025,6,36,TELANGANA,508,KARIMNAGAR,IGNDPS,824,159,30,87,548,650,750,29/07/24
2024-2025,6,36,TELANGANA,518,RANGAREDDI,IGNDPS,2395,541,114,233,1507,2078,2254,29/07/24
2024-2025,6,36,TELANGANA,687,JAYASHANKAR BHOOPALPALLI,IGNDPS,163,33,1,0,129,163,147,29/07/24
2024-2025,6,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,IGNDPS,713,89,217,0,407,713,624,29/07/24
2024-2025,6,36,TELANGANA,693,WANAPARTHY,IGNDPS,549,86,24,23,416,522,438,29/07/24
2024-2025,6,36,TELANGANA,697,YADADRI,IGNDPS,910,192,28,44,646,909,875,29/07/24
2024-2025,6,36,TELANGANA,698,VIKARABAD,IGNDPS,578,118,57,15,388,563,557,29/07/24
2024-2025,6,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,DAMAN,IGNDPS,301,24,27,163,87,76,221,29/07/24
2024-2025,6,5,UTTARAKHAND,50,HARIDWAR,IGNDPS,568,116,5,297,150,202,123,29/07/24
2024-2025,6,5,UTTARAKHAND,52,PAURI GARHWAL,IGNDPS,61,10,0,51,0,18,15,29/07/24
2024-2025,6,5,UTTARAKHAND,57,UTTAR KASHI,IGNDPS,55,11,0,44,0,18,38,29/07/24
2024-2025,6,6,HARYANA,60,FARIDABAD,IGNDPS,823,111,0,458,254,635,392,29/07/24
2024-2025,6,6,HARYANA,66,KAITHAL,IGNDPS,2155,683,0,853,619,1325,706,29/07/24
2024-2025,6,6,HARYANA,71,PANIPAT,IGNDPS,1458,255,0,755,448,979,550,29/07/24
2024-2025,6,6,HARYANA,73,ROHTAK,IGNDPS,1316,332,0,740,244,981,464,29/07/24
2024-2025,6,7,DELHI,77,CENTRAL,IGNDPS,200,0,0,199,1,200,193,29/07/24
2024-2025,6,8,RAJASTHAN,100,GANGANAGAR,IGNDPS,1836,944,8,191,693,1575,1557,29/07/24
2024-2025,6,8,RAJASTHAN,101,HANUMANGARH,IGNDPS,535,212,4,80,239,457,489,29/07/24
2024-2025,6,8,RAJASTHAN,102,JAIPUR,IGNDPS,489,100,58,153,178,438,470,29/07/24
2024-2025,6,8,RAJASTHAN,109,KOTA,IGNDPS,136,38,5,26,67,122,125,29/07/24
2024-2025,6,8,RAJASTHAN,114,SIKAR,IGNDPS,746,180,24,202,340,625,651,29/07/24
2024-2025,6,8,RAJASTHAN,117,UDAIPUR,IGNDPS,1170,74,719,161,216,820,817,29/07/24
2024-2025,6,8,RAJASTHAN,629,PRATAPGARH,IGNDPS,618,51,453,32,82,499,517,29/07/24
2024-2025,6,8,RAJASTHAN,87,ALWAR,IGNDPS,799,158,96,215,330,644,720,29/07/24
2024-2025,6,8,RAJASTHAN,90,BARMER,IGNDPS,1068,184,76,200,608,847,871,29/07/24
2024-2025,6,8,RAJASTHAN,96,CHURU,IGNDPS,1023,275,15,233,500,709,758,29/07/24
2024-2025,6,9,UTTAR PRADESH,122,AURAIYA,IGNDPS,1444,474,0,297,673,351,851,29/07/24
2024-2025,6,9,UTTAR PRADESH,123,AZAMGARH,IGNDPS,3017,819,4,551,1643,972,1695,29/07/24
2024-2025,6,9,UTTAR PRADESH,127,BALRAMPUR,IGNDPS,637,83,3,255,296,327,459,29/07/24
2024-2025,6,9,UTTAR PRADESH,136,CHITRAKOOT,IGNDPS,1064,300,0,179,585,271,762,29/07/24
2024-2025,6,9,UTTAR PRADESH,141,FARRUKHABAD,IGNDPS,1306,191,1,339,775,452,742,29/07/24
2024-2025,6,9,UTTAR PRADESH,142,FATEHPUR,IGNDPS,1863,505,2,476,880,847,1211,29/07/24
2024-2025,6,9,UTTAR PRADESH,144,GAUTAM BUDDHA NAGAR,IGNDPS,378,79,0,99,200,121,249,29/07/24
2024-2025,6,9,UTTAR PRADESH,145,GHAZIABAD,IGNDPS,332,66,0,120,146,166,172,29/07/24
2024-2025,6,9,UTTAR PRADESH,147,GONDA,IGNDPS,2125,317,2,1029,777,850,1302,29/07/24
2024-2025,6,9,UTTAR PRADESH,152,JAUNPUR,IGNDPS,4201,932,3,770,2496,1486,2479,29/07/24
2024-2025,6,9,UTTAR PRADESH,159,KHERI,IGNDPS,2372,617,21,681,1053,1019,1567,29/07/24
2024-2025,6,9,UTTAR PRADESH,161,LALITPUR,IGNDPS,820,178,29,135,478,502,735,29/07/24
2024-2025,6,9,UTTAR PRADESH,162,LUCKNOW,IGNDPS,1620,733,3,272,612,808,1303,29/07/24
2024-2025,6,9,UTTAR PRADESH,167,MATHURA,IGNDPS,1668,372,0,432,864,1032,1186,29/07/24
2024-2025,6,9,UTTAR PRADESH,172,MUZAFFARNAGAR,IGNDPS,1996,395,0,699,902,1369,1514,29/07/24
2023-2024,1,1,JAMMU AND KASHMIR,3,BARAMULLA,IGNDPS,96,0,0,96,0,87,0,30/07/24
2023-2024,1,1,JAMMU AND KASHMIR,5,JAMMU,IGNDPS,28,5,2,19,2,20,0,30/07/24
2023-2024,1,1,JAMMU AND KASHMIR,624,SAMBA,IGNDPS,63,11,8,43,1,42,3,30/07/24
2023-2024,1,1,JAMMU AND KASHMIR,625,SHOPIAN,IGNDPS,108,0,8,100,0,103,82,30/07/24
2023-2024,1,10,BIHAR,188,ARARIA,IGNDPS,1263,140,9,1030,84,793,872,30/07/24
2023-2024,1,10,BIHAR,189,AURANAGABAD,IGNDPS,2033,578,13,1360,82,1261,1524,30/07/24
2023-2024,1,10,BIHAR,192,BHAGALPUR,IGNDPS,2874,350,62,2324,138,1917,2252,30/07/24
2023-2024,1,10,BIHAR,198,JAMUI,IGNDPS,1599,385,86,323,805,898,1217,30/07/24
2023-2024,1,10,BIHAR,202,KHAGARIA,IGNDPS,1846,165,27,1453,201,1221,1495,30/07/24
2023-2024,1,10,BIHAR,211,PASHCHIM CHAMPARAN,IGNDPS,5622,762,195,3988,677,3022,4111,30/07/24
2023-2024,1,10,BIHAR,214,PURNIA,IGNDPS,1950,109,90,826,925,1265,1434,30/07/24
2023-2024,1,10,BIHAR,217,SAMASTIPUR,IGNDPS,4608,701,22,3390,495,3301,3691,30/07/24
2023-2024,1,10,BIHAR,219,SHEIKHPURA,IGNDPS,1139,166,3,874,96,770,891,30/07/24
2023-2024,1,10,BIHAR,220,SHEOHAR,IGNDPS,478,28,1,400,49,366,326,30/07/24
2023-2024,1,10,BIHAR,221,SITAMARHI,IGNDPS,3608,473,82,2664,389,2483,2955,30/07/24
2023-2024,1,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNDPS,101,0,99,2,0,81,12,30/07/24
2023-2024,1,12,ARUNACHAL PRADESH,243,WEST SIANG,IGNDPS,160,0,160,0,0,106,1,30/07/24
2023-2024,1,12,ARUNACHAL PRADESH,679,SIANG,IGNDPS,58,0,58,0,0,41,0,30/07/24
2023-2024,1,13,NAGALAND,613,PEREN,IGNDPS,51,0,51,0,0,0,0,30/07/24
2023-2024,1,14,MANIPUR,256,IMPHAL WEST,IGNDPS,172,9,3,1,159,109,3,30/07/24
2023-2024,1,15,MIZORAM,265,LUNGLEI,IGNDPS,146,0,140,5,1,60,54,30/07/24
2023-2024,1,15,MIZORAM,268,SERCHHIP,IGNDPS,49,0,45,4,0,32,29,30/07/24
2023-2024,1,16,TRIPURA,272,WEST TRIPURA,IGNDPS,410,89,55,163,103,181,8,30/07/24
2023-2024,1,16,TRIPURA,653,SEPAHIJALA,IGNDPS,231,20,47,142,22,100,15,30/07/24
2023-2024,1,16,TRIPURA,654,GOMATI,IGNDPS,264,56,68,101,39,139,3,30/07/24
2023-2024,1,17,MEGHALAYA,276,RI BHOI,IGNDPS,248,4,232,11,1,79,3,30/07/24
2023-2024,1,18,ASSAM,280,BARPETA,IGNDPS,988,11,1,972,4,768,804,30/07/24
2023-2024,1,18,ASSAM,282,CACHAR,IGNDPS,2162,370,39,1431,322,1221,1420,30/07/24
2023-2024,1,18,ASSAM,288,GOLAGHAT,IGNDPS,1255,35,23,1127,70,758,498,30/07/24
2023-2024,1,18,ASSAM,612,CHIRANG,IGNDPS,581,50,258,169,104,346,566,30/07/24
2023-2024,1,19,WEST BENGAL,304,24 PARGANAS SOUTH,IGNDPS,1984,390,53,1521,10,1867,1577,30/07/24
2023-2024,1,19,WEST BENGAL,305,BANKURA,IGNDPS,1259,415,84,711,49,1211,1199,30/07/24
2023-2024,1,19,WEST BENGAL,306,PURBA BURDWAN,IGNDPS,2753,914,147,1555,137,2670,2397,30/07/24
2023-2024,1,19,WEST BENGAL,307,BIRBHUM,IGNDPS,5748,1423,87,4094,144,5521,5054,30/07/24
2023-2024,1,19,WEST BENGAL,315,KOLKATA,IGNDPS,382,2,0,380,0,380,294,30/07/24
2023-2024,1,19,WEST BENGAL,664,ALIPURDUAR,IGNDPS,721,273,98,350,0,692,690,30/07/24
2023-2024,1,2,HIMACHAL PRADESH,16,CHAMBA,IGNDPS,63,15,13,34,1,1,0,30/07/24
2023-2024,1,20,JHARKHAND,325,DHANBAD,IGNDPS,3537,285,112,1546,1594,3438,1135,30/07/24
2023-2024,1,20,JHARKHAND,329,GIRIDIH,IGNDPS,1733,166,111,704,752,1687,1104,30/07/24
2023-2024,1,20,JHARKHAND,334,KODERMA,IGNDPS,463,102,0,147,214,460,240,30/07/24
2023-2024,1,20,JHARKHAND,341,SARAIKELA KHARSAWAN,IGNDPS,908,43,239,84,542,889,549,30/07/24
2023-2024,1,20,JHARKHAND,342,SIMDEGA,IGNDPS,620,66,455,32,67,616,145,30/07/24
2023-2024,1,21,ODISHA,348,BHADRAK,IGNDPS,2908,292,19,2060,537,2727,2135,30/07/24
2023-2024,1,21,ODISHA,349,BOUDH,IGNDPS,1150,114,52,758,226,1124,275,30/07/24
2023-2024,1,21,ODISHA,353,GAJAPATI,IGNDPS,1440,85,682,352,321,1404,1142,30/07/24
2023-2024,1,21,ODISHA,354,GANJAM,IGNDPS,5995,723,67,3723,1482,5688,2492,30/07/24
2023-2024,1,21,ODISHA,361,KENDUJHAR,IGNDPS,1848,124,415,1032,277,1796,655,30/07/24
2023-2024,1,21,ODISHA,362,KHORDHA,IGNDPS,5629,222,30,4960,417,5615,3267,30/07/24
2023-2024,1,21,ODISHA,371,SAMBALPUR,IGNDPS,2666,353,655,1203,455,2652,2098,30/07/24
2023-2024,1,22,CHHATTISGARH,375,BILASPUR,IGNDPS,4318,337,180,2985,816,4062,2128,30/07/24
2023-2024,1,22,CHHATTISGARH,376,DANTEWADA,IGNDPS,748,45,404,173,126,687,190,30/07/24
2023-2024,1,22,CHHATTISGARH,384,KOREA,IGNDPS,126,19,49,10,48,125,60,30/07/24
2023-2024,1,22,CHHATTISGARH,385,MAHASAMUND,IGNDPS,998,141,160,221,476,970,367,30/07/24
2023-2024,1,22,CHHATTISGARH,386,RAIGARH,IGNDPS,1242,100,365,456,321,1178,407,30/07/24
2023-2024,1,22,CHHATTISGARH,643,KONDAGAON,IGNDPS,841,23,510,117,191,821,334,30/07/24
2023-2024,1,22,CHHATTISGARH,648,SURAJPUR,IGNDPS,954,48,246,467,193,905,494,30/07/24
2023-2024,1,22,CHHATTISGARH,763,SARANGARH BILAIGARH,IGNDPS,707,175,44,118,370,654,118,30/07/24
2023-2024,1,23,MADHYA PRADESH,401,DATIA,IGNDPS,1141,430,26,115,570,611,318,30/07/24
2023-2024,1,23,MADHYA PRADESH,402,DEWAS,IGNDPS,2851,932,482,360,1077,1297,778,30/07/24
2023-2024,1,23,MADHYA PRADESH,410,INDORE,IGNDPS,1558,392,335,198,633,712,338,30/07/24
2023-2024,1,23,MADHYA PRADESH,412,JHABUA,IGNDPS,3297,67,3004,92,134,1393,695,30/07/24
2023-2024,1,23,MADHYA PRADESH,420,PANNA,IGNDPS,2694,728,324,450,1192,1031,1053,30/07/24
2023-2024,1,23,MADHYA PRADESH,421,RAISEN,IGNDPS,3825,927,498,697,1703,1787,586,30/07/24
2023-2024,1,23,MADHYA PRADESH,423,RATLAM,IGNDPS,2543,633,762,270,878,1279,840,30/07/24
2023-2024,1,23,MADHYA PRADESH,428,SEONI,IGNDPS,2015,297,700,194,824,1259,622,30/07/24
2023-2024,1,23,MADHYA PRADESH,431,SHEOPUR,IGNDPS,868,209,208,53,398,404,262,30/07/24
2023-2024,1,23,MADHYA PRADESH,436,UMARIA,IGNDPS,2268,275,810,349,834,956,365,30/07/24
2023-2024,1,23,MADHYA PRADESH,639,ALIRAJPUR,IGNDPS,1960,74,1803,17,66,784,319,30/07/24
2023-2024,1,24,GUJARAT,444,DANG,IGNDPS,201,4,188,9,0,199,201,30/07/24
2023-2024,1,24,GUJARAT,449,KACHCHH,IGNDPS,616,131,16,276,167,585,530,30/07/24
2023-2024,1,24,GUJARAT,451,MAHESANA,IGNDPS,430,95,1,75,255,385,315,30/07/24
2023-2024,1,24,GUJARAT,453,NAVSARI,IGNDPS,275,3,128,144,0,240,3,30/07/24
2023-2024,1,24,GUJARAT,456,PORBANDAR,IGNDPS,275,73,11,63,128,268,126,30/07/24
2023-2024,1,24,GUJARAT,459,SURAT,IGNDPS,368,16,133,216,1,243,285,30/07/24
2023-2024,1,27,MAHARASHTRA,470,BEED,IGNDPS,257,0,0,257,0,242,7,30/07/24
2023-2024,1,27,MAHARASHTRA,474,DHULE,IGNDPS,135,4,12,113,6,99,5,30/07/24
2023-2024,1,27,MAHARASHTRA,481,LATUR,IGNDPS,451,58,1,358,34,370,78,30/07/24
2023-2024,1,27,MAHARASHTRA,498,WARDHA,IGNDPS,255,25,13,161,56,198,50,30/07/24
2023-2024,1,28,ANDHRA PRADESH,510,KRISHNA,IGNDPS,5125,1469,271,1315,2070,3536,2332,30/07/24
2023-2024,1,28,ANDHRA PRADESH,521,VIZIANAGARAM,IGNDPS,562,59,64,30,409,327,180,30/07/24
2023-2024,1,29,KARNATAKA,535,DAVANAGERE,IGNDPS,292,10,4,43,235,283,238,30/07/24
2023-2024,1,29,KARNATAKA,541,KODAGU,IGNDPS,585,44,12,190,339,579,407,30/07/24
2023-2024,1,29,KARNATAKA,547,SHIMOGA,IGNDPS,1447,140,17,389,901,1432,1044,30/07/24
2023-2024,1,29,KARNATAKA,549,UDUPI,IGNDPS,301,14,11,10,266,300,225,30/07/24
2023-2024,1,29,KARNATAKA,550,UTTARA KANNADA,IGNDPS,352,24,7,42,279,345,273,30/07/24
2023-2024,1,29,KARNATAKA,630,CHIKKABALLAPURA,IGNDPS,2560,329,250,345,1636,2496,2005,30/07/24
2023-2024,1,29,KARNATAKA,631,RAMANAGARA,IGNDPS,1371,110,10,464,787,1339,968,30/07/24
2023-2024,1,29,KARNATAKA,635,YADGIR,IGNDPS,136,21,9,6,100,135,1,30/07/24
2023-2024,1,3,PUNJAB,31,FIROZEPUR,IGNDPS,669,99,0,561,9,372,635,30/07/24
2023-2024,1,3,PUNJAB,38,MOGA,IGNDPS,269,0,0,269,0,152,255,30/07/24
2023-2024,1,3,PUNJAB,43,SANGRUR,IGNDPS,553,37,0,501,15,304,419,30/07/24
2023-2024,1,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,IGNDPS,61,0,36,23,2,61,2,30/07/24
2023-2024,1,32,KERALA,556,IDUKKI,IGNDPS,1153,70,46,1037,0,844,690,30/07/24
2023-2024,1,33,TAMIL NADU,571,DHARMAPURI,IGNDPS,1001,168,31,627,175,867,996,30/07/24
2023-2024,1,33,TAMIL NADU,572,DINDIGUL,IGNDPS,460,91,0,5,364,244,455,30/07/24
2023-2024,1,33,TAMIL NADU,573,ERODE,IGNDPS,2478,599,9,1133,737,1989,2410,30/07/24
2023-2024,1,33,TAMIL NADU,577,KRISHNAGIRI,IGNDPS,1121,120,1,29,971,458,1109,30/07/24
2023-2024,1,33,TAMIL NADU,578,MADURAI,IGNDPS,2065,107,0,1451,507,1130,2037,30/07/24
2023-2024,1,33,TAMIL NADU,582,PUDUKKOTTAI,IGNDPS,1131,154,0,176,801,686,1131,30/07/24
2023-2024,1,33,TAMIL NADU,610,ARIYALUR,IGNDPS,393,93,0,173,127,369,393,30/07/24
2023-2024,1,35,ANDAMAN AND NICOBAR,602,SOUTH ANDAMANS,IGNDPS,75,0,0,75,0,73,75,30/07/24
2023-2024,1,35,ANDAMAN AND NICOBAR,632,NORTH AND MIDDLE ANDAMAN,IGNDPS,178,0,0,178,0,176,177,30/07/24
2023-2024,1,36,TELANGANA,681,JAGITIAL,IGNDPS,103,31,4,0,68,103,95,30/07/24
2023-2024,1,36,TELANGANA,685,KAMAREDDY,IGNDPS,568,107,40,0,421,568,554,30/07/24
2023-2024,1,36,TELANGANA,686,HANUMAKONDA,IGNDPS,33,9,0,0,24,33,30,30/07/24
2023-2024,1,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,IGNDPS,43,0,43,0,0,0,0,30/07/24
2023-2024,1,5,UTTARAKHAND,49,DEHRADUN,IGNDPS,483,12,96,373,2,192,102,30/07/24
2023-2024,1,6,HARYANA,58,AMBALA,IGNDPS,1481,418,0,641,422,1135,690,30/07/24
2023-2024,1,6,HARYANA,59,BHIWANI,IGNDPS,1155,399,0,472,284,711,538,30/07/24
2023-2024,1,6,HARYANA,66,KAITHAL,IGNDPS,2155,683,0,853,619,1325,706,30/07/24
